inventore	domanda_id	database
GIRALDI PIER NICOLA LAURIA FRANCESCO FOJANESI ALESSANDRO E LOGEMANN WILLY	404	itapat_1968_1
RIBONI UBALDO, BARTOLUCCI LUIGI E MARTELLI FRANCO	914	itapat_1968_1
ARCAMONE FEDERICO FRANCESCHINI GIOVANNI GLASSER ALFREDO E DORIGOTTI LUCIANO	941	itapat_1968_1
NERI PAOLO, LATTANZI FILIPPO, TARLI PAOLO E MORINI ROBERTO	1705	itapat_1968_1
BENITO LEONCINI RENATO PALATRESI	1894	itapat_1968_1
ANTONIO SCOGNAMIGLIO GIULIANO BERRETTA	2709	itapat_1968_1
LONGI PAOLO GRECO FRANCESCO E ROSSI UMBERTO	2848	itapat_1968_1
DOLCI GIOACCHINO E MORSELLI GIORGIO	2959	itapat_1968_1
DOLCI GIOACCHINO E MORSELLI GIORGIO	2960	itapat_1968_1
DUPRE CARLO E CORTINOVIS MARTINO FRANCO	3036	itapat_1968_1
PIERO COLOMBO	3159	itapat_1968_1
COPPO ROMANO E BIANCHINI CARLO	3261	itapat_1968_1
SCATA MARIO	3575	itapat_1968_1
ROSSI GIUSEPPE , FAVA RENATO, CIMATOSTI GIORDANO E VERGARI SANDRO	3603	itapat_1968_1
COLOMBO PIERO	3802	itapat_1968_1
VAVASSORI ANGELO MANLIO E POZZI ENRICO	4535	itapat_1968_1
GIANNINI UMBERTO LONGI PAOLO CASSATA ANTONIO E DE LUCA DOMENICO	4900	itapat_1968_1
VON SCHWEINICHEN JOACHIM CIRUZZI VINCENZO GRAZZINI LUCIANO	5102	itapat_1968_1
GIANNINI UMBERTO LONGI PAOLO DE LUCA DOMENICO CASSATA ANTONIO E PIVOTTO BRUNO	5448	itapat_1968_1
LAURIA FRANCESCO VECCHIETTI VITTORIO E LOGEMANN WILLY	5530	itapat_1968_1
PALMIERI NICOLA E BURONI VITTORIO	5846	itapat_1968_1
PINAMONTI FRANCO E MACCONE SERGIO	6048	itapat_1968_1
ALLIEVI LIVIO E BIANCHI GIORGIO	6279	itapat_1968_1
UBALDO RIBONI LUIGI BARTOLUCCI FRANCO MARTELLI	6442	itapat_1968_1
LO MONACO SERGIO MAZZOLINI COR RADO PATRON LUIGI E MORETTI ALBERTO	191	itapat_1968_2
LONGI PAOLO VALVASSORI ALBERTO GRECO FRANCESCO BERNASCONI ERMANNO	309	itapat_1968_2
SICLARI FRANCESCO MAGNONI FRANCO E FULMINI SERGIO	631	itapat_1968_2
SICLARI FRANCESCO E MAGNONI FRANCO	644	itapat_1968_2
SIRONI GIUSEPPE SACERDOTE RENZO E FERRERO FRANCESCO	760	itapat_1968_2
BORGHETTI GIUSEPPE	977	itapat_1968_2
FRANCESCO BROSSA, GIOVANNI MASSIMO FERRARI E GIUSEPPE MUSSO	1489	itapat_1968_2
FRANCESCO BROSSA GIOVANNI MASSIMO FERRARI GIUSEPPE MUSSO	1490	itapat_1968_2
ARCAMONE FEDERICO CASSINELLI GIUSEPPE PENCO SERGIO E TOGNOLI LUIGI	1772	itapat_1968_2
PREGAGLIA GIANFRANCO, FERRARI GIANFRANCO , ANDRETTA ALBERTO E MARANGONI LUIGI	1937	itapat_1968_2
