titolare	domanda_id	database
VALENTINI GIUSEPPE	6086	itapat_1973_3
ROSSI ALESSANDRO	559	itapat_1990_133
ROSSI ALESSANDRO	71	itapat_1990_172
ROSSI MASSIMO	438	itapat_1990_126
ARVI S.N.C. DI ARRIGONI ROBERTO EPAVANELLO FABRIZIO	569	itapat_1990_83
GUGLIELMONE MARIO AD ABBIATEGRASSO MILANO	5507	itapat_1968_3
BIANCHI LUIGI AD ABBIATEGRASSO MILANO	2438	itapat_1970_1
REPOSSI ANGELO A ABBIATEGRASSO MILANO	2866	itapat_1975_3
LUI LUCIANO	608	itapat_1990_76
DITTA EMICAR DI ALBERTO NEGRI AD ABBIATEGRASSO MILANO	706	itapat_1973_1
MACCHI ALBERTO LAZZATI PIETRO E MACCHI GIOVANNI AD ABBIATEGRASSO MILANO	4046	itapat_1971_1
PALAZZO GIUSEPPE	311	itapat_1990_72
RUSSO GIUSEPPE	321	itapat_1990_22
RUSSO GIUSEPPE	489	itapat_1990_19
RUSSO GIUSEPPE	800	itapat_1990_37
RUSSO GIUSEPPE	492	itapat_1990_36
RUSSO GIUSEPPE	680	itapat_1990_43
RIZZO LEONARDO	79	itapat_1990_143
GRASSI ANGELO AD ACIREALE CATANIA	3006	itapat_1973_2
SPINELLA GIOVANNI	662	itapat_1990_96
PAPPALARDO ROSARIO	817	itapat_1990_159
CALZIFICIO SAN.BA DI BARONI ALESSANDRO	763	itapat_1990_105
GROUP TALAMONTI DI TALAMONTI ALESSANDRO IMPRESA INDIVIDUALE	168	itapat_1990_185
RUSSO VINCENZO AD ACQUI TERME ALESSANDRIA	4190	itapat_1988_2
RUSSO VINCENZO AD ACQUI TERME ALESSANDRIA	2672	itapat_1988_3
NEGRO FRANCESCO	157	itapat_1990_183
SANGIORGIO SALVATORE	18	itapat_1990_106
AMATO ROSARIO SALVATORE	688	itapat_1990_138
BOSCOLO LUIGI	551	itapat_1990_36
BELLONI ROBERTO	77	itapat_1990_96
VILLA & VILLA S.A.S. DI PAOLO VILLA & C.	360	itapat_1990_147
VILLA & VILLA S.A.S. DI PAOLO VILLA & C.	263	itapat_1990_147
SAVOLDINI GIUSEPPE	372	itapat_1990_115
GALLI PAOLA	998	itapat_1990_183
PALLADINO FRANCESCO	428	itapat_1990_44
PALLADINO FRANCESCO	935	itapat_1990_31
PALLADINO FRANCESCO	60	itapat_1990_90
DI SARNO LUIGI	54	itapat_1990_103
DE BERNARDI DANIELE	731	itapat_1990_152
DE BERNARDI DANIELE	231	itapat_1990_126
DE BERNARDI DANIELE	823	itapat_1990_162
DE BERNARDI DANIELE	545	itapat_1990_162
DE BERNARDI DANIELE	771	itapat_1990_156
DE BERNARDI DANIELE	916	itapat_1990_165
DE BERNARDI DANIELE	985	itapat_1990_150
SIGNORI RICCARDO	451	itapat_1990_65
AERRE S.A.S. DI SIGNORI RICCARDO & C.	313	itapat_1990_38
BADINI GIORGIO AGLIANA PT VIA GIOVANNELLA 4	1295	itapat_1988_1
MARCHELLO GIOVANNI BATTISTA PETRILLO VINCENZO A AGLIE' CANAVESE TORINO A CIRIE' TORINO CROTTI GIAMPIERO A RANICA BERGAMO	2589	itapat_1986_2
RUSSO ALBERTO	968	itapat_1990_192
MARCHELLO GIOVANNI BATTISTA	894	itapat_1990_7
MARCHELLO GIOVANNI BATTISTA	37	itapat_1990_103
FONTANA GIUSEPPE AD AGNADELLO CREMONA	1023	itapat_1968_3
FONTANA GIUSEPPE AD AGNADELLO CREMONA	1024	itapat_1968_3
VOSACEC S.P.A. A NOVI LIGURE FARINA FRANCO A AGRATE BRIANZA	500	itapat_1987_2
SANNA MASSIMO A AGRATE BRIANZA MILANO	2290	itapat_1987_1
C4 S.A.S. DI MARCO BONFANTI & C.	250	itapat_1990_129
C4 S.A.S. DI MARCO BONFANTI & C.	764	itapat_1990_165
C4 S.A.S. DI MARCO BONFANTI & C.	100	itapat_1990_143
C4 S.A.S. DI MARCO BONFANTI & C.	369	itapat_1990_194
BELLOTTI ANGELO	438	itapat_1990_50
CERRI DANIELA	17	itapat_1990_167
CIARROCCA GIUSEPPE	253	itapat_1990_169
RINAUDO ROBERTO	59	itapat_1990_38
BRUNO ENRICO AD ALBA CUNEO E VADA GIUSEPPE AD ASTI	7640	itapat_1978_1
RIVA MARIO RIVA ALDO A CERESOLE D ALBA..CUNEO	5121	itapat_1976_2
